KodeRute,NamaRute,API_URL
1,Blok M - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1&transportType=transjakarta
1A,PIK - Balai Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1A&transportType=transjakarta
1B,St. Pal Merah - Tosari,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1B&transportType=transjakarta
1C,Blok M - Pesanggrahan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1C&transportType=transjakarta
1E,Pondok Labu - BLok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1E&transportType=transjakarta
1F,Stasiun Palmerah - Bundaran Senayan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1F&transportType=transjakarta
1H,Stasiun Tanah Abang - Stasiun Gondangdia,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1H&transportType=transjakarta
1M,Meruya - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1M&transportType=transjakarta
1N,Tanah Abang - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1N&transportType=transjakarta
1P,Senen - Bundaran Senayan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1P&transportType=transjakarta
1R,Stasiun Pasar Senen - Stasiun Tanah Abang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1R&transportType=transjakarta
2,Pulogadung - Harmoni Central,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2&transportType=transjakarta
2A,Pulogadung - Rawa Buaya,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2A&transportType=transjakarta
2B,Harapan Indah - ASMI,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2B&transportType=transjakarta
2D,Kalideres - ASMI,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2D&transportType=transjakarta
2E,Rusun Rawa Bebek - Pakin,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2E&transportType=transjakarta
2K,JGC - Harapan Indah,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2K&transportType=transjakarta
3,Kalideres - Pasar Baru,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3&transportType=transjakarta
3A,Rusun Daan Mogot - Kalideres,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3A&transportType=transjakarta
3B,Rusun Flamboyan - Kalideres,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3B&transportType=transjakarta
3C,Rusun Kapuk Muara - Kalideres,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3C&transportType=transjakarta
3D,Penjaringan - Rawa Buaya,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3D&transportType=transjakarta
3E,Sentraland Cengkareng - Puri Kembangan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3E&transportType=transjakarta
3F,Kalideres - Gelora Bung Karno,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3F&transportType=transjakarta
4,Pulogadung2 - Duku Atas2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4&transportType=transjakarta
4A,TU Gas - Grogol 2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4A&transportType=transjakarta
4B,St. Manggarai - Universitas Indonesia,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4B&transportType=transjakarta
4C,Bundaran Senayan - TU Gas,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4C&transportType=transjakarta
4D,TU Gas - Departemen Kesehatan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4D&transportType=transjakarta
4F,Pondok Gede - Pulo Gadung,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_4F&transportType=transjakarta
4H,Pulogadung 2 - Ragunan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4H&transportType=transjakarta
4K,Pulogadung 2 - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4K&transportType=transjakarta
4M,Pulogadung - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4M&transportType=transjakarta
4X,Stasiun Manggarai - Tosari,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4X&transportType=transjakarta
5,Kampung Melayu - Ancol,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5&transportType=transjakarta
5A,Kampung Melayu - Grogol 1,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5A&transportType=transjakarta
5B,St. Tebet - Bidara Cina,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5B&transportType=transjakarta
5C,PGC 1 - Harmoni Central,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5C&transportType=transjakarta
5D,PGC 1 - Ancol,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5D&transportType=transjakarta
5E,Kampung Rambutan - Ancol,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5E&transportType=transjakarta
5F,Kampung Melayu - Tanah Abang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5F&transportType=transjakarta
5H,Harmoni - Ancol,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_old_5F&transportType=transjakarta
5K,Kampung Melayu - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5K&transportType=transjakarta
5M,Kampung Melayu - Tanah Abang via Cikini,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5M&transportType=transjakarta
5N,Kampung Melayu - Ragunan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5N&transportType=transjakarta
6,Ragunan - Duku Atas 2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_6&transportType=transjakarta
