kode_koridor,koridor,layanan,n_halte,warna,koridor_id,api_url,tanggal
1,Blok M - Kota,Transjakarta,22,D02027,idjkb_1,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1&transportType=transjakarta,2020-04-13
1A,PIK - Balai Kota,Transjakarta,55,93C3A4,idjkb_1A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1A&transportType=transjakarta,2020-04-13
1B,Stasiun Palmerah - Tosari,Transjakarta,16,2AA8A4,idjkb_1B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1B&transportType=transjakarta,2020-04-13
1C,Blok M - Pesanggrahan - Bintaro,Transjakarta,47,59A9C1,idjkb_1C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1C&transportType=transjakarta,2020-04-13
1E,Pondok Labu - Blok M,Transjakarta,41,C50003,idjkb_1E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1E&transportType=transjakarta,2020-04-13
1F,Stasiun Palmerah - Bundaran Senayan,Transjakarta,15,FF7465,idjkb_1F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1F&transportType=transjakarta,2020-04-13
1H,Stasiun Tanah Abang - Stasiun Gondangdia,Transjakarta,29,E15F80,idjkb_1H,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1H&transportType=transjakarta,2020-04-13
1M,Meruya - Blok M,Transjakarta,82,D6375F,idjkb_1M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1M&transportType=transjakarta,2020-04-13
1N,Tanah Abang - Blok M,Transjakarta,48,D81748,idjkb_1N,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1N&transportType=transjakarta,2020-04-13
1P,Senen - Bundaran Senayan,Transjakarta,54,FF0040,idjkb_1P,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1P&transportType=transjakarta,2020-04-13
1R,Senen - Stasiun Tanah Abang,Transjakarta,45,FC8DA9,idjkb_1R,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_1R&transportType=transjakarta,2020-04-13
2,Pulo Gadung - Harmoni,Transjakarta,28,264798,idjkb_2,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2&transportType=transjakarta,2020-04-13
2A,Rawa Buaya - Pulo Gadung,Transjakarta,37,4EA8DE,idjkb_2A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2A&transportType=transjakarta,2020-04-13
2B,ASMI - Harapan Indah,Transjakarta,44,266E9A,idjkb_2B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2B&transportType=transjakarta,2020-04-13
2D,Kalideres - ASMI,Transjakarta,33,4EA8DE,idjkb_2D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2D&transportType=transjakarta,2020-04-13
2E,Rusun Rawa Bebek - Pakin,Transjakarta,12,8D8482,idjkb_2E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2E&transportType=transjakarta,2020-04-13
2K,JGC - Harapan Indah,Transjakarta,17,215AED,idjkb_2K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_2K&transportType=transjakarta,2020-04-13
3,Kalideres - Pasar Baru,Transjakarta,17,EDB900,idjkb_3,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3&transportType=transjakarta,2020-04-13
3A,Rusun Pesakih - Kalideres,Transjakarta,6,8D8482,idjkb_3A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3A&transportType=transjakarta,2020-04-13
3B,Rusun Flamboyan - Kalideres,Transjakarta,5,8D8482,idjkb_3B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3B&transportType=transjakarta,2020-04-13
3C,Rusun Kapuk Muara - Penjaringan,Transjakarta,2,8D8482,idjkb_3C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3C&transportType=transjakarta,2020-04-13
3D,Penjaringan - Rawa Buaya,Transjakarta,35,73CCD5,idjkb_3D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3D&transportType=transjakarta,2020-04-13
3E,Sentraland Cengkareng - Puri Kembangan,Transjakarta,36,DBAA06,idjkb_3E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3E&transportType=transjakarta,2020-04-13
3F,Kalideres - Gelora Bung Karno,Transjakarta,22,B39233,idjkb_3F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_3F&transportType=transjakarta,2020-04-13
4,Pulo Gadung - Tosari,Transjakarta,20,5D2E64,idjkb_4,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4&transportType=transjakarta,2020-04-13
4A,Jelambar - TU GAS,Transjakarta,43,AD74B1,idjkb_4A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4A&transportType=transjakarta,2020-04-13
4B,Stasiun Manggarai - Universitas Indonesia,Transjakarta,106,CD5FA5,idjkb_4B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4B&transportType=transjakarta,2020-04-13
4C,Bundaran Senayan - TU GAS,Transjakarta,28,AD75B2,idjkb_4C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4C&transportType=transjakarta,2020-04-13
4D,Pulo Gadung - Patra Kuningan,Transjakarta,24,5D2E64,idjkb_4D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4D&transportType=transjakarta,2020-04-13
4F,Pulo Gadung - Pinang Ranti,Transjakarta,103,B900E2,idjkb_brt_4F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_brt_4F&transportType=transjakarta,2020-04-13
4H,Pulo Gadung - Ragunan,Transjakarta,36,9C41B5,idjkb_4H,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4H&transportType=transjakarta,2020-04-13
4K,Pulo Gadung - Blok M,Transjakarta,36,9626B5,idjkb_4K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4K&transportType=transjakarta,2020-04-13
4M,Pulo Gadung - Kota,Transjakarta,23,900BB5,idjkb_4M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4M&transportType=transjakarta,2020-04-13
Stasiun Manggarai,Stasiun Manggarai - Tosari,Transjakarta,6,5D2E64,idjkb_4X,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_4X&transportType=transjakarta,2020-04-13
5,Ancol - Kampung Melayu,Transjakarta,19,C85F1B,idjkb_5,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5&transportType=transjakarta,2020-04-13
5A,Kampung Melayu - Grogol,Transjakarta,36,D38251,idjkb_5A,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5A&transportType=transjakarta,2020-04-13
5B,Stasiun Tebet - Bidara Cina,Transjakarta,14,905C3A,idjkb_5B,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5B&transportType=transjakarta,2020-04-13
5C,PGC - Harmoni,Transjakarta,25,73CCD5,idjkb_5C,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5C&transportType=transjakarta,2020-04-13
5D,PGC - Ancol,Transjakarta,26,F2911F,idjkb_5D,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5D&transportType=transjakarta,2020-04-13
5E,Kampung Rambutan - Ancol,Transjakarta,34,F1592A,idjkb_5E,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5E&transportType=transjakarta,2020-04-13
5F,Kampung Melayu - Tanah Abang,Transjakarta,50,FF9E58,idjkb_5F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5F&transportType=transjakarta,2020-04-13
5H,Harmoni - Ancol,Transjakarta,11,FF7734,idjkb_old_5F,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_old_5F&transportType=transjakarta,2020-04-13
5K,Kampung Melayu - Kota,Transjakarta,20,FC6F03,idjkb_5K,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5K&transportType=transjakarta,2020-04-13
5M,Kampung Melayu - Cikini - Tanah Abang,Transjakarta,74,FF5400,idjkb_5M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5M&transportType=transjakarta,2020-04-13
5N,Kampung Melayu - Ragunan,Transjakarta,116,FF4000,idjkb_5N,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_5N&transportType=transjakarta,2020-04-13
